id,text,label
1529,"And these are psalms, which are just popular prayers rather than the word of God arn't they?   Rather than go with the slightly bizarre 'well you're not King David are you...' type response, I could see it being fairly reasonable that God 'knows' people who are born. He might 'know of' the various individuals who are misscarried, die at birth or are aborted but what exactly does he know in relation to them?   Do our souls have their own personalities completely seperate from our mortal ones that are shaped as much by our souls as genes and experience - or does God 'know' them through the billions of other possible universes, i.e he knows them from somewhere/when they didn't die. But if that counts then that means our souls are spread out over an infinite number of copies of us. If so then surely the threat of Hell is irrelevant, either we are doomed because clearly some version of reality has us being evil (I've seen enough TV shows to know that this is pratically 100% certain.) or the soul is something seperate from us and our actions?",notsarc
11,What does spelling have to do with your own opinion? Again this isn't just about you although I think you did resort to correcting someone's spelling and just didn't answer the question. This has nothing to do with being entitled to your own opinion. It is equally bad for anyone to resort to personal attacks on either side of the debate.,sarc
1596,"But poetry will never be taken seriously in political decisions. Atheists have a lot to like in songofgenesis, don't they?   another quote",notsarc
625,"Biblical literism is the only way to view the Bible. I could 'metaphorically' say that Dawkins really believes in God in his own way, because he said that ID is possible for this planet because aliens may have seeded the first self replicating molecule here Millions of years ago.   That is silliness or even foolishness. Nothing taken literally from the Bible is irrational. God is rational and His creation is rational.   In fact, the ""Scientific Method"" originated from the idea that the Physical Universe operates on rational physical laws because the Creator did it in logical fashion.   What did we have b4 that? ""Dragons eating the moon during an eclipse'? Angry gods causing volcanoes to erupt? Apollo racing his fiery chariot across the sky every day?",sarc
1339,"Actually, natural selection tends to preserve a species with only minor changes in a stable environment. But environments tend to change. I don't know what that ""incipient organ"" junk is supposed to mean. Is that another way of saying ""what good is half a wing."" Well, check out a penguin to find out. Look at a seal flipper. It has the same bones, arranged in the same way as a monkey. What good is it for a land animal? And what does ""fully functional"" mean? What function? Perhaps the new organ had a different purpose - take the clawed hands of fossil birds for example. They were good for catching prey and climbing, just like they were for their dinosaur ancestors. But those clawed wings also allowed early birds to fly.",notsarc
891,"By far most speech about homosexuality from those who don't approve is not hate speech. You've been listening to too much propaganda from gay lobby groups who think demonizing and working toward persecuting Christians for their beliefs is the best means to an end. If Canada limited it's persecution only to those who are trying to change the law, there wouldn't be a problem.",sarc
1748,So then women who are pregnant shouldn't be allowed to   1) Smoke   2) Take any kind of drug that could possibly harm the child   3) Drink   or do any otherwise legal action?   And VOR takes another giant step towards fascism.,notsarc
1234,"I see, thanks for answering my question.",notsarc
913,"BREAKING NEWS: SHOOTING IN DALLAS OFFICE TOWER - CTnow   Ah, the good old gun-crazy US of A.",sarc
1696,Tell this to those infants and adults in the netherlands who are being euthanized against their will. this is a logical conclusion of a quality of life ethic without a sanctity of life basis.,notsarc
533,"FDR saved this country? If I recall, it was in 1933 that, because of a combination of weakened capital situations from Reconstruction Finance Corporation loans which published lists of the loan takers, and a nation-wide banking holiday, banks around the country went through a new wave of demise, dropping the D/C and D/R ratios so sharply that, in one month alone, the money stock (M2) fell a whopping 4 1/2%.   Wasnt it under FDR that the NIRA codes, and, after 1935, the NLRA, enacted minimum wages, driving up nominal wages and thus unemployment?   Wasnt it during FDR administration that the reserve ratio was *doubled*, sending us back into another recession starting 1937?   The only thing FDR ""saved"" was the depression for a couple more years.   -GFA",sarc
1503,"The Sun was crucial in the evolution of most life on the planet, but it may not have been the main cause of the very beginning of life. There are hypotheses that energy necessary, chemical catalysts available, Carbon, Nitrogen, Hydrogen, but not Oxygen apart from being part of the Water molecule. There are tectonic activated hot springs and chimneys in the deep sea. There is an availability of Sulfur, heat energy, and the triggering of a Sulphur based metabolism. It was internal energy from up welling and down welling of hot magma which in turn was fuelled by core radioactivity. Some even speculate that the very centre of the core may be pure Uranium.   However, there is no need to debate the Second Law of Thermodynamics. It is a ruse by Magical Creationists who deliberately and in my opinion deceptively make Earth a closed entropy system.   Cuchulainn   PS: Fundies have an obligation to show why the fires of Hell are exempt from the 2nd Law. I already know the answer. Hell is imaginary and imaginary things do not gain entropy.",notsarc
850,"You know, I'd believe that more if there were people like the Shindler family who have pushed for federal courts to intervene and destroy the sanctity of marriage. There is nothing you could do or say that would convince me that Americans somehow have any respect for marriage whatsoever. What heterosexuals have done to destroy this institution from the inside out only tells me that heteros are simply spoiled children who have the attitude of:   ""If we can't make it work, we aren't going to allow anyone else to come in and do marriage better.""",sarc
310,But will you listen?,sarc
423,Marilyn - I'll look at your site if you look at mine...   http://www.nra.org/,sarc
1407,On what grounds do you seek to redefine the institution of marriage from it's accepted standard in this country?,notsarc
1524,"Just some interesting information I learned when we went caving a couple years ago (a real cave, not one of the commercialized ones). Bats actually have better eyesite than humans, but even they can't see in pitch black. No eye can.",notsarc
1530,"Well, I would agree that as many constitutional ammendments probably would not have passed, but I certainly don't think they all would not have been passed, and I don't think that Massachusettes allowing same-sex marriage was a bad thing. Constitutional ammendments are difficult to overcome, but no one can ever change a law if people aren't willing to take a stand and fight for it.   Can you tell that I love the quote in Jyoshu's signature?",notsarc
1314,No proof anyone ever went from gay orientation to straight orientation.,notsarc
1165,From your own link it is very clear the NRA DID NOT say that or publish that. Your clearly very wrong.,notsarc
825,You mean the truth of thousands of young teen girls dead with a coat hanger in hand? Abortion is a neccessity so that it can be regulated. People will have abortions legal or not legal. At least provide a safety net other than a coat hanger.,sarc
1385,"No, I'm saying it's OK because abortion is legal in this country. I was just pointing out that it's also legal to execute a convicted killer, and it's fine and dandy to declare wars where many people will die. ""Thall shalt not kill, unless there is a war"".   Legally there is a difference. But let's just toss that out for a second. The end result is exactly the same. Eyes fogged over no longer care whether it was fun or self defense.   It's only time it's your call, is when it's suicide.",notsarc
674,So you dont know?,sarc
1848,"just how i said it...   opinion...   like, what you think   of it",notsarc
666,So being easy to know makes it good? methinks that's not quite right.,sarc
421,I know you don't. So what?,sarc
1014,"See above, please cite.",notsarc
714,"Since when? So if I were to post a news article where someone says that pedophilia should be legalized, then it means I agree with them? I thought this was a discussion board. That means we, you know, DISCUSS THINGS.   Now, if I had said ""Here is AiG's article and I couldn't agree with them more"", then you would have an argument.   As I did not, you don't. Now, do you retract your false statement that what you quoted was my reasoning?",sarc
320,"On the contrary, the wet dreams of those slavering over these appalling British figures miss the fact that bad as they are, those 3 or 4 more murders in the USA per hundred thousand population equates to your likelihood of being murdered there as at least ten times higher than in that dangerous place Britain. Suck on that.",sarc
1780,"So even though you can legally conceal carry right up to the gate of the national parks, and you can legally hunt within the parks, somehow concealed carry in the parks will become more dangerous?",notsarc
549,How tolerant. Lets talk about the Spanish Inquisition.,sarc
1279,You then cite the Wikipedia entry on Spencer:,notsarc
311,I believe they got XXXXXX at all the conservates on this board. So they went and joined a commie discussion board where they feel more welcome and can send congrats to each other for being smarter than regular people.,sarc
530,"Oh dear. Have you ever looked at a human spine? It is curved: it's bent. A straight spine is a knackered spine. As to the hands bit, what are you on about? You are aware I hope that the story that the nosey elephant got it's trunk because a crocodile grabbed the end and stretched it is just a story?",sarc
875,"Yep, suppressing natural behavior is always the way to go. We should also get them to stop pooping.",sarc
1277,"Because you've presented no credible evidence to support the claims that private transactions are an established and major source of firearms for criminals.   If you can't prove it's broken, you don't have grounds to call for fixing it.",notsarc
321,"Wow, you PROVED the Big Bang to be a big dud? I didn't see this clear refutation of a longheld scientific theory written up in any of the peer reviewed scientific journals. I must have overlooked it. Can you give the reference to your article?",sarc
322,So cross jurisdictional escort is a fairly common occurrence in the area. You will note that it is not the local cops talking about not being informed....it is the author of the article whining about it.,sarc
209,"Except that it does nothing of the sort... But then, what can we expect from somebody citing a website trying to sell you liquid vitamin supplement...   Nevertheless, we look into the Pottenger's cats claim.   Here is a page called, ""Lesson of the Pottenger's Cats Experiment: cats are not humans."" Although it's a page aimed at explaining why this ""experiment"" is not applicable to humans, it exposes the other, erm, flaws in this experiment. The one striking me based on the wikipedia list of diets for the groups should be obvious to everyone: many of these cats were being deprived of protein. This page confirms and elaborates. In fact, its first point is that today's cats have no problem reproducing for several generations on today's cooked food. The difference is that good owners don't feed their pets deficient diets.   The real irony here is that this experiment -- were it reliable -- would be the antithesis of supersport's Lamarckism. In order for supersport to be supported, the cats being fed inadequate diets would re-develop those broken pathways for manufacturing essential amino acids. Obviously, they did not. The only thing we see here is the effect of poor (i.e. positively malnutritive) diet.   We can conclude that supersport's Morton's demon is pretty much in full control. There's no other explanation for somebody seeing this experiment and thinking it supports Lamarckism, or even counters evolutionary theory, even if he doesn't know the basics of experimentation and nutrition.",sarc
1129,"So sorry; I have a friend who works and lives in the D.C. area, but he has residency in Mass., because he owns a home there. And he was able to be married only because he owns a home there ?",notsarc
1526,"Humm. More guns, more Concealed Carry and Violent Crime and Murder is down to it's lowest levels since they started to record it. So how can these studies be credible or considered in anyway correct.",notsarc
1110,"That should be, ""duh"".   I knew what you meant. A bit of humor is ok.   But I guess you don't have anything to say about the implications of this study.",notsarc
202,Actually quite a common name in South America... but I know what you mean.,sarc
1390,OK try the US Constitution. We are a representative democratic republic not a majority rule nation. Majorities hold certain powers but they are limited. Minorities continue to have rights which may not be infringed by the majority. Amibiguity and sharing of interests in various types of personal and social decisions is a necessary component of this system. We are built on compromise and that has served us well.,notsarc
1673,"Oh, so you were not in any way talking about evolution in these posts? Then why are they posted on the c vs e board?   Please, that's just pathetic.",notsarc
1784,"If same sex couples are offered equal rights under a PACS (or some other legally recognized union) as married couples, why does it matter which ""door"" they come in through? They get all the same benefits, including the benefits that come when one partner dies.   What's the beef...except that you can't say that you're ""married""?",notsarc
545,"For bringing health care to women without the means ? For providing Pap Smears, Mammograms, and birth control for women without the means ? Providiing pre-natal, and post-natal care ? Oh, heck, let the women die of breast cancer and uterine cancer ! Why not; bash Gays, then you bash the women.",sarc
1377,"Damn, your links sure show a lack of knowledge. Do you have any sources that aren't ignorant as all heck?   While Hoyle came up with the term 'the big bang', he was mocking it. Hoyle was a proponent of the Steady State concept of the universe, which he held on to long after it was disproved by empirical evidence.   FFS, if you are going to use a source, have one that at least has the history of the theory right?   Yes, the estimated age of the universe changed over time. We got increasingly more sophisticated ways to measure it. In the last 30 years, the age estimate has not significantly changed, but the +/- has narrowed drastically. Do try to use a source that isn't over 30 years old.",notsarc
1107,Obama overturns ban on overseas abortion funding   I thought abortion was the fix for bad or no family planning,notsarc
1493,"But I already pointed out the mark of Cain in another thread.   http://www.4forums.com/political/sho...57&amp;postcount=1   You see, this particular gene has but two alleles. One exists in the majority of humans. That allele, along with several other genes involved in pigmentation create people with various shades of brown to very brown skin. The second allele was created by a more recent mutation and spread in a more limited population. That allele produces white skin.",notsarc
1307,"Hello there. The principle behind a pro-life Christian supporting the death penalty (I am one) is this: We are talking of innocent life. The death penalty is justified for a person who is guilty of commiting a crime against a society that has that law. The child never did anything wrong. I know of other beleivers who don't support the death penalty, so basically, it's an in-house debate.",notsarc
518,Here's a novel idea - how about the right gives up the abstinence programmes (scientifically unproven) and improves access to and information on b/c to stop women having UPPs in the first place? Just a thought.,sarc
1087,"That's the thing, though; even a self-professed non-expert can perfectly well refute the ridiculous points supersport continually spouts. supersport, on the other hand, doesn't know any better.",notsarc
1547,"Yes, it's very subjective. I was using evil as an example that was incorrectly used on the website. Even though evil is subjective, you can still be evil. (you can do evil to take away your goodness, but the only way to make yourself colder is by removing your heat, not adding ""cold"")   No, but there is proof that it's that way, which can be seen through a combination of personal experience and the experiences of others.   The classic example about seeing that the Earth is round is that of the horizon. Why do ships appear to sink as they approach it?",notsarc
680,You mean your hypothetical I presume? Murder violates the rights of the murdered by relieving them of their life. That's why it's illegal.   You're a bit slow I see.,sarc
608,"Well, both traffic in waste material. Many traps are present in each for them to function properly. And don't forget where biological evolution and plumbing both lead you--into a cesspool.",sarc
470,"Math is confusing too, doesn't mean we should get rid of it.",sarc
986,"Excuse me, I stand corrected. For 'pretend' please substitute 'wrongly believe'.",sarc
276,"So, it was a form of birth control?",sarc
1342,And science helped Stenger write his book. How can the same subject make a stronger case for both of two completely opposing viewpoints?   another,notsarc
1519,"Do you want something other than peppered moths, bacteria developing resistance to antibiotics, Darwin's finches, and the other species of the Galapagos?   Maybe biologists are not allowed to do tests on animals that will kill many of them. This reminds me of Kent Hovind's reward for evidence of evolution: impossible to fulfill.",notsarc
1477,"And he accomplished all this human carnage without a gun. This just proves that if it was possible to eliminate all projectile firing weapons from existing on earth, men would find a way to commit atrocities against his own kind just as he did before such weapons existed if murder was in his heart. Guns are not the issue, the corrupted heart/nature of humanity is.",notsarc
1533,"I think the only valid reason for owning a gun is because you want to. Every person (with some exceptions) has the right to keep and bear arms, why you do it is your own business. Giving specific reasons for gun ownership is the top of a slippery slope towards banning certain firearms.   While I have specific reasons for owning specific guns, to include hunting, I own some of my guns for no other reason than they are fun to shoot.   A humorus side note: I own one gun strictly for fishing, sounds odd but its common practice (at least in Alaska) to shoot large Halibut before bringing them aboard.",notsarc
329,"You were asked to give us your explanation of evolution. So far you've just regurgitated creationist arguments against it, without showing that you actually understand what you're arguing against. But instead of trying to answer the question that was asked of you, you just spat out some more quotes. The least you could have done was to use quotes that explained evolution as you percieve it, but they're not even on topic, going on about morality and atheism! You continue to confirm your ignorance for us.",sarc
1263,"Microevolution has occured. Several times over and recorded in the lab and the natural world.   [quote] Give me one peer reviewed paper . Just one. Not the latest dogma from talk origins . 29 evidences for bs.[quote]   Huh. Guess you're wrong.   [quote]Talk Origins does your thinking not mine. Give me peer reviewed documents not the latest political/religious factions babblings. Of course they don't exist but how could they? [quote]   And how does that mean evolution is wrong and creation is correct?   You do realize that even if you somehow manage to prove evolution false (not likely), you are still miles from proving creation right?",notsarc
1828,"The counter arguments put forth by its critics do not defeat the Violinist arguments, at the very least. Whether one accepts the argument anyway is another story :P",notsarc
1779,"And for good reason. Electrical engineers in general have a pretty poor track record when discussing issues that have nothing to do with... electrical engineering. Examples: Walter ReMine, Fred Williams, etc.",notsarc
991,How informative.,sarc
219,"**   It's up to you. Stop bringing up red herrings and/or arguing by personal attack, or don't expect me to treat your posts with any less contempt than I have for most of what's been posted to this board.",sarc
1499,"The thing is, Bush didn't live in Canada.",notsarc
387,"Oh really, so blowing yourself and a bunch of other innocent people up in the name of Allah is a ""great teaching""?",sarc
1760,"Actually, most people do not hold the view that existing marriages should be dissolved. In Massachussetts, it's quite a minority view, almost as low as Bush's approval rating.   In any case, that is irrelevant. I was pointing out why someone might reasonably ask the question you consider so inappropriate. What I haven't seen, either from you or from any of the articles, was what the firefighter's answer was or why he refused to answer. From what I can tell from the scant coverage, he avoided answering but had no trouble discussing his political views. Odd, I think.. or just crappy coverage.",notsarc
271,"It's kind of funny that they claim this happened, but can't get the woman to come out and say it?",sarc
683,"Well, you're writing from an embryo's point of view, when an embryo doesn't even have a point of view. It would be like writing from a rock's point of view.",sarc
1744,"I would say that the soul is that part of us that is immortal. It is our essence. Our personality may impact or is impacted by it, but I would say it is far more. Indeed, I would say it is what psychologists call emergent downward causality.   As for the role of God, science has not disproven any of it. Science has explained how things occur but that does not eliminate the possibility of god nor does it limit what god does. We would simply not be understanding gods fit in the science of it. That makes sense given that god is considered infinite and we are finite. I think the soul is what gives us the possibility of even imagining the infinite. The idea that we can see beyond what we are or even to conceptualize such things gives a clue that there is more to us than meets the eye.   I do not see why God and science cannot coexist. Even evolution and creation. Forget planting evidence. That is too far fetched. I would rather think that it is more likely that what God says actually fits the evidence even though we cannot understand it. I do not know about God or ""not god"" (if you will) but if there is a God then the idea that he is beyond what I can actually conceive and yet completely conceivable makes sense for that kind of being. It should be an apparent paradox to me. If it is not, then my concept of God is faaaaaaaaaaaaaaaaaaaaaaaaaaaaaaarrrrrrrrrrrrrrrrrr rrrrrrrrrrrrrrrrrrr to small to be of any use to anyone.   Huck.",notsarc
889,People make mistakes (excepting some pro-evolutionists who respond with anger and blame others of 'twisting their words'.),sarc
658,"As far as I'm aware your aim is for abortion not to happen, my point is that despite making it illegal it will still happen -- making it illegal is not achieving your aim.   Hence my point is sound, and as such it is a good point.",sarc
1567,Mayabe this is a miniscule amount of suffering compared to what awaits you on the flipside. Weather it be an eternity of Bliss or agony and suffering. Who really knows. Mayabe those who have this happen to them have it coming to them?,notsarc
1747,"So? In your religion's view, everyone sins. Their sin is no greater or more unforgiveable than yours.",notsarc
703,"Oh dear, deluded philisopher nutter alert. No one can empirically prove anything. Fact. End of discussion.",sarc
924,LOL! By that logic children entering a school with substandard English skills are just as much a threat to others as armed children entering a school with no training in firearms.,sarc
686,And you are only trying to earn yourself brownie points in hell.,sarc
1414,"The quality of life ethic is far different from sactity/dignity of life ethic. A quality of life ethic carried out to its logical conclusions does not promote a pro-life society. Instead, there would be genocide against the handicapped, elderly, and people who people of power have deemed life unworthy of life. The problem with this ethic is that it is centered in arbritrary people deciding arbritarily which person passes the ""quality of life"" test.",notsarc
511,"Less than a playstation, of course!",sarc
864,"So lets ban cars... They kill people... And think all the money could go to public transportation. Also we should ban baseball bats as thats the obvious next step in weaponry... Don't forget archery... Can't have the subjects have any of that...   Since we are taking away all these weapons to coddle the masses, Will the government be disarming too?   I see a need for both kinds of weapons as a freeman.",sarc
295,Just when you think WW's debating skills can't get any worse...,sarc
1036,And here our Government says:   Rights and Responsibilities,notsarc
1328,"Well, I don't believe in evolution. I believe in things for which I have no evidence. And while it is true that everyone has bias, using correct science and the process of peer review works to eliminate. Not all is perfect, and people are people, but overall the system works. Not a lot of bad science gets through. In the case of ""creation science"" we know that there is no science involved. Only talk that sounds scientific. There is no hypothesis, prediction or testing. Only ad hoc stories constructed of selected bits of evidence to support the foregone conclusion.",notsarc
426,"So what? The allele frequency, even in your example has still changed. A change in an allele frequency in a population over time is, by definition, evolution. What did you think that evolution was?",sarc
356,"Yea, and so is gardening. Both are ""murdering"" living things. Both do not mentally exist. A strand of DNA is the only difference, which isn't very much.",sarc
1638,And they have been found in volume buried together in the same strata in Ohio also. Vertebrate Fossils - Ohio History Central - A product of the Ohio Historical Society,notsarc
1583,"At 13 - abortion, unless she is uniquely physically advanced. It's incredible how many men are sure being pregnant is no big deal....   Steve - regarding whether she can consent to abortion.   Technically I don't think a minor can consent to either sex or abortion in any state (unless emancipated). I know that is how it is in Minnesota. I am sure the laws vary from state to state.   Medical decisions generally fall to the parents.   I know whether minors should have access to abortion without parental notifications is a controversial issue. On the surface one would think, of course not - but there is concern for those girls who are in abusive situations at home. And as I told VOR, if I had a daughter bound and determined not to tell me, I would rather she have access to safe abortion than resort to something drastic.   A baby pregnant - yikes. Personally I think it's innapropriate and dangerous for a little girl to carry a pregnancy to term. But I would sure love to simply avoid it through better prevention. I do not think an abortion would be anything but scary for her either - but technically, at that age, it would be safer.   Steve - in no way, shape or form is a 13 year old ready for this - not physically, mentally or emotionally - not for pregnancy, and certainly not for parenting. I have a neices that old - good gracious - no way!",notsarc
634,"Oh yeah right, like sociopaths who are bent on killing and slaughtering everyone around them, can be fixed with something as stupid as school counseling.",sarc
183,Jesus! Another scientific illiterate. The facts are the observations. And the point is not to test facts but to explain them with an hypothesis that suggests a prediction as a consequence that can be tested by experimentation.,sarc
1261,Mormons believe that Satan is the brother of Jesus.,notsarc
1713,And SS is once again wrong. If you really believe that then try to tell your genes to give you tiger stripes which will be inherited by your children. Good luck.,notsarc
1881,And you believe that to be what? You really need to just say who/what you think the Creator is to save us from having to make all these clarification posts.,notsarc
30,So you think Zeus and all the other Greek gods exist?,sarc
1634,you know why? because God touches our hearts like nothing you have ever felt before. it is amazing,notsarc
636,"Really? Then why did you start off your little rant by admitting that ""...microevolution cannot be reasonably disputed."" Evolution has been observed, and that is a fact. Speciation in both plants and animals has been observed, and that is a fact. Apparently you don't know what a theory is. Might it not be wise to learn just a little about science before you make yourself look so foolish? Theories explain facts.",sarc
1946,Stop trying to muddy the waters. I was talking about developed nations with lower murder rates. You suddenly bring Chicago into the debate- a city with open borders in a nation where guns are freely available. Even if gun control hasn't worked there it doesn't follow that gun laws can't work on a national level.,notsarc
811,So you've never repeated a sin?,sarc
1702,"Generally, when someone posts an article without a disclaimer, they agree with the findings and the reasoning of the article provided.   Besides, your statement does not change the fact that the reasoning provided is foolish.",notsarc
84,"Crammed with them, sure, why not? It's easy, only a few million light years. The scientific method is used in weather forecasting too.",sarc
133,Yes. What would a former Archbishop of Canterbury know about Christianity?,sarc
